Location_ID,Business_Account_Number,Ownership_Name,DBA Name,Street_Address,City,State,Zip_Code,Business_Start_Date,Location Start Date,Mail_Address,Mail_City_State_Zip,Class Code,PBC Code
0075754-02-001,75754,YANNAN INC,RED JADE RESTAURANT,245 CHURCH ST,San Francisco,CA,94114,12/02/2003 12:00:00 AM,12/02/2003 12:00:00 AM,245 CHURCH ST,SAN FRANCISCO CA 94114-1310,8,5800
0077116-01-001,77116,NICARAGUA RESTAURANT INC,NICARAGUA RESTAURANT INC,3015 MISSION ST,San Francisco,CA,94110,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,3015 MISSION ST,SAN FRANCISCO CA 94110-4501,8,5800
0078443-01-001,78443,LIEUW VICTOR J,GEORGES COFFEE SHOP,2200 OAKDALE AVE,San Francisco,CA,94124,08/30/1973 12:00:00 AM,08/30/1973 12:00:00 AM,1041 CRESTVIEW DR,MILLBRAE CA 94030-1046,8,3079
0078507-01-001,78507,LIVERPOOL LILS  INC,LIVERPOOL LILS RESTAURANT,2942 LYON ST,San Francisco,CA,94123,09/04/1973 12:00:00 AM,09/04/1973 12:00:00 AM,P.O. BOX 472173 P.O. BOX 472173,SAN FRANCISCO CA 94147-2173,8,5800
0079908-01-001,79908,RODRIGUEZ ALFREDO & GLORIA,LITTLE JOES PIZZA,5006 MISSION ST,San Francisco,CA,94112,11/27/1973 12:00:00 AM,11/27/1973 12:00:00 AM,5006 MISSION ST,SAN FRANCISCO CA 94112-3418,8,5800
0080251-01-001,80251,BLACK MARTHA,PETER D'S RESTAURANT,2201 VAN NESS AVE,San Francisco,CA,94109,09/01/1973 12:00:00 AM,09/01/1973 12:00:00 AM,819 BUTTERNUT DR,SAN RAFAEL CA 94903-3125,8,3079
0080381-02-001,80381,ICF INC,YANK SING,49 STEVENSON ST,San Francisco,CA,94105,01/01/1974 12:00:00 AM,01/01/1974 12:00:00 AM,PO BOX 192960,SAN FRANCISCO CA 94119-2960,8,5800
0084298-01-001,84298,HAWKER THOMAS R-WARREN ROSS,PAC CAFE,7000 GEARY BLVD,San Francisco,CA,94121,07/04/1974 12:00:00 AM,07/04/1974 12:00:00 AM,7000 GEARY BL,SAN FRANCISCO CA 94121-1623,8,5812
0084815-01-001,84815,GHAZI SAEED,LITTLE SHAMROCK THE,807 LINCOLN WAY,San Francisco,CA,94122,08/20/1974 12:00:00 AM,08/20/1974 12:00:00 AM,807 LINCOLN WY,SAN FRANCISCO CA 94122-2305,8,5800
0085044-01-002,85044,MCHENRY EVERETT,LEONS BAR-BQ,1911 FILLMORE ST,San Francisco,CA,94115,01/01/1974 12:00:00 AM,01/10/1977 12:00:00 AM,216 BEMIS ST,SAN FRANCISCO CA 94131-0000,8,3079
0086830-01-001,86830,LAMBERT CLAUDE,CORNELL HOTEL,715 BUSH ST,San Francisco,CA,94108,01/01/1974 12:00:00 AM,01/01/1974 12:00:00 AM,715 BUSH ST,SAN FRANCISCO CA 94108-3402,8,3079
0086830-02-001,86830,LAMBERT CLAUDE,JEANNE D'ARC,715 BUSH ST,San Francisco,CA,94108,01/01/1974 12:00:00 AM,01/01/1974 12:00:00 AM,715 BUSH ST,SAN FRANCISCO CA 94108-3402,8,3079
0087062-01-001,87062,HENRY & DIANA CHUNG CO INC,HUNAN RESTAURANT,924 SANSOME ST,San Francisco,CA,94111,02/01/1974 12:00:00 AM,02/01/1974 12:00:00 AM,924 SANSOME ST.,SAN FRANCISCO CA 94111-,8,5800
0089176-01-001,89176,"SINBADS PIER 2,INC.",SINBADS PIER II INC.,PIER 02,San Francisco,CA,94111,04/01/1975 12:00:00 AM,04/01/1975 12:00:00 AM,PEIR 2 THE EMBARCADERO,SAN FRANCISCO CA 94111-2026,8,5800
0090123-01-001,90123,CLUB PUERTORRIQUENO DE SF,3249 MISSION BLDG,3249 MISSION ST,San Francisco,CA,94110,01/01/1975 12:00:00 AM,01/01/1975 12:00:00 AM,3249 MISSION ST,SAN FRANCISCO CA 94110-5006,8,5800
0090123-02-001,90123,CLUB PUERTORRIQUENO DE SF,CLUB PERTORRIQUENO OF SF INC,3249 MISSION ST,San Francisco,CA,94110,01/01/1975 12:00:00 AM,12/02/1987 12:00:00 AM,3249 MISSION ST,SAN FRANCISCO CA 94110-5006,8,5800
0090654-01-001,90654,ONGBHAIBULYA TASANA T,TASANAS HAIR DESIGN,339 TARAVAL ST,San Francisco,CA,94116,08/01/1975 12:00:00 AM,08/01/1975 12:00:00 AM,339 TARAVAL ST,SAN FRANCISCO CA 94116-1954,8,3079
